frame,x,y,visible
0,-1.0,-1.0,0
1,1215.5,1421.0,1
2,1215.5,1421.0,0
3,1215.5,1421.0,0
4,1229.4997200100797,1421.0,1
5,1235.4964206526327,1421.0,1
6,1230.9895038172447,1421.0,1
7,1230.6470966757563,1421.0,0
8,1230.304689534268,1421.0,0
9,1229.9622823927796,1421.0,0
10,1237.5464682511542,1421.0,1
11,1240.2463537123926,1420.6818981190231,1
12,1242.0029427684826,1420.5914678189977,0
13,1256.9105953655537,1420.8709199385157,1
14,1262.723305237569,1420.8945707374585,0
15,1268.5360151095845,1420.9182215364012,0
16,1274.3487249815998,1420.941872335344,0
17,1280.1614348536152,1420.9655231342867,0
18,1285.9741447256306,1420.9891739332295,0
19,1291.786854597646,1421.0128247321722,0
20,1297.5995644696613,1421.036475531115,0
21,1303.4122743416767,1421.0601263300578,0
22,1309.224984213692,1421.0837771290005,0
23,1315.0376940857075,1421.1074279279433,0
24,1320.8504039577228,1421.131078726886,0
25,1326.6631138297382,1421.1547295258288,0
26,1332.4758237017536,1421.1783803247715,0
27,1338.288533573769,1421.2020311237143,0
28,1344.1012434457843,1421.225681922657,0
29,1349.9139533177997,1421.2493327215998,0
30,1355.726663189815,1421.2729835205425,0
31,1361.5393730618305,1421.2966343194853,0
32,1367.3520829338458,1421.320285118428,0
33,1373.1647928058612,1421.3439359173708,0
34,1378.9775026778766,1421.3675867163136,0
35,1384.790212549892,1421.3912375152563,0
36,1390.6029224219074,1421.414888314199,0
37,1396.4156322939227,1421.4385391131418,0
38,1402.228342165938,1421.4621899120846,0
39,1408.0410520379535,1421.4858407110273,0
40,1413.8537619099689,1421.50949150997,0
41,1419.6664717819842,1421.5331423089128,0
42,1425.4791816539996,1421.5567931078556,0
43,1431.291891526015,1421.5804439067983,0
44,1437.1046013980304,1421.604094705741,0
45,1442.9173112700457,1421.6277455046838,0
46,1448.730021142061,1421.6513963036266,0
47,1454.5427310140765,1421.6750471025694,0
48,1460.3554408860919,1421.698697901512,0
49,1466.1681507581072,1421.7223487004549,0
50,1471.9808606301226,1421.7459994993976,0
51,1477.793570502138,1421.7696502983404,0
52,1483.6062803741534,1421.7933010972831,0
