frame,x,y,visible
0,1096.577392578125,593.0299072265625,1
1,1097.029739921968,592.5922678845903,1
2,1097.0177953475147,592.6291702741437,1
3,1097.0060030018383,592.665909180664,0
4,1096.8669461061802,592.6209154304887,1
5,1096.805516019438,592.625775668124,0
6,1096.4986660425238,592.6424916652386,1
7,1096.539344876283,592.5183230649612,1
8,1096.4611502093821,592.4845488931815,0
9,1096.5764959476614,592.5159358619776,1
10,1096.5573075606628,592.5020279113933,0
11,1096.9368358989286,592.5946717437754,1
12,1097.004750806669,592.6697854733251,1
13,1097.0925205030424,592.7056132229782,0
14,1097.1802901994156,592.7414409726313,0
15,1096.751195854279,592.6255882705059,1
16,1096.658014927969,592.6244905348425,1
17,1096.5963056705739,592.6213876371625,0
18,1096.4109774920687,592.6863143644586,1
19,1096.311419014864,592.7040405454192,0
20,1095.9008923680371,592.0557686654639,1
21,1095.75267807471,591.8229916581773,1
22,1095.5757405744093,591.6278799186209,0
23,1096.0763615437545,592.1520583822074,1
24,1096.106907899617,592.1772097073672,0
25,1096.3234073348144,592.3928206144982,1
26,1096.308730286202,592.4759266604585,1
27,1096.361551637939,592.5574266947553,0
28,1096.3832112719338,592.3725627277875,1
29,1096.4264906411634,592.3724998437076,0
30,1096.469770010393,592.3724369596277,0
31,1096.5130493796225,592.3723740755479,0
32,1095.845105081994,592.1694980273718,1
33,1095.7312824526957,592.1246357997211,0
34,1095.9263051299786,592.2495244762417,1
35,1095.9785581407884,592.2857441663343,1
36,1095.9771335938617,592.2993367226107,0
37,1095.975709046935,592.3129292788872,0
38,1095.962633818645,591.9105228158273,1
39,1095.9776282088835,591.9335579963318,1
40,1095.979084161737,591.8738456209543,0
41,1096.3677408535757,592.0803923008772,1
42,1096.4877100712024,592.1021757150008,0
43,1095.9409806329174,591.9352159719716,1
44,1095.7994865966773,591.861634116884,1
45,1095.702961473075,591.8152536058748,0
46,1096.1205168988663,591.9649659265915,1
47,1096.1814167428017,591.9786341914119,0
48,1096.305405104299,592.1008052046425,1
49,1096.384717955792,592.1461410692682,0
50,1095.9309790007285,591.8349228384884,1
51,1095.855400907014,591.7766533871286,0
52,1095.7282797623054,591.686995017804,1
53,1095.6994397444796,591.6558050721836,1
54,1095.6287844824378,591.6000869848374,0
55,1095.9220852665453,591.817306589838,1
56,1095.9630512342849,591.8452954258848,0
57,1096.0746250987945,592.0962691463386,1
58,1096.1362006829588,592.1893446532305,0
59,1096.1977762671231,592.2824201601223,0
60,1096.2593518512874,592.3754956670142,0
61,1095.7649046983174,592.0329663306042,1
62,1095.7523490067997,592.0443672409514,1
63,1095.7053034086869,592.0454480270772,0
64,1095.658257810574,592.046528813203,0
65,1095.6112122124612,592.0476095993289,0
66,1095.5641666143483,592.0486903854547,0
67,1095.5171210162355,592.0497711715806,0
68,1095.4700754181226,592.0508519577064,0
69,1095.4230298200098,592.0519327438323,0
70,1095.375984221897,592.0530135299581,0
71,1095.97869363541,590.9549235132911,1
72,1096.0165845988734,590.8123196999854,0
73,1096.0544755623366,590.6697158866798,0
74,1096.0923665258,590.5271120733742,0
75,1096.1302574892632,590.3845082600685,0
76,1096.1681484527264,590.2419044467629,0
77,1096.2060394161897,590.0993006334572,0
78,1096.243930379653,589.9566968201516,0
79,1096.2818213431162,589.814093006846,0
80,1096.3197123065795,589.6714891935403,0
81,1096.3576032700428,589.5288853802347,0
82,1096.395494233506,589.386281566929,0
83,1096.4333851969693,589.2436777536234,0
84,1096.4712761604326,589.1010739403177,0
85,1096.5091671238958,588.9584701270121,0
86,1096.2362491019237,591.4839327861287,1
87,1096.247812694237,591.5673300846433,0
88,1096.2593762865502,591.650727383158,0
89,1096.2709398788634,591.7341246816727,0
90,1096.2825034711766,591.8175219801874,0
91,1096.2940670634898,591.9009192787021,0
92,1096.305630655803,591.9843165772168,0
93,1096.1348344344935,591.7302329661318,1
94,1096.1180014174618,591.7610785902347,0
95,1096.10116840043,591.7919242143375,0
96,1096.0843353833982,591.8227698384404,0
97,1096.0675023663664,591.8536154625433,0
98,1095.9322742057275,591.6674962714318,1
99,1095.8921420246088,591.6556450527692,0
100,1095.8520098434901,591.6437938341065,0
101,1095.8118776623714,591.6319426154439,0
102,1096.3956672589366,591.8046850434015,1
103,1096.4944227164058,591.812256281184,1
104,1096.5924902140357,591.8348662582634,0
105,1096.6905577116656,591.8574762353429,0
106,1096.5528525091584,591.4985903036103,1
107,1096.5629300811374,591.4195371290034,1
108,1096.5905995933504,591.3407471659048,0
109,1096.2359256780353,591.2115632351154,1
110,1096.1464508146712,591.117333305084,0
111,1096.1434733827875,590.8714026883972,1
112,1096.1505586552457,590.8162323174247,1
113,1096.1093386604584,590.704482151028,0
114,1095.8600252673036,590.8103986003249,1
115,1095.7550824745479,590.7653027626342,0
116,1096.020856059182,591.3672716783194,1
117,1096.1055005585881,591.5515296904626,1
118,1096.1349299928247,591.7083118392412,0
119,1096.4267875868682,591.9547371471609,1
120,1096.5365747717317,592.1389687991978,0
121,1096.6350928083407,592.0431594421899,1
122,1096.7415907524467,592.1456526806459,0
123,1096.3881192441024,592.061168216555,1
124,1096.3609602032782,592.1093298557308,0
125,1096.4324451707928,592.4207262700197,1
126,1096.45136700542,592.4903145674878,1
127,1096.458540050007,592.5973113524973,0
128,1096.465713094594,592.7043081375068,0
129,1096.2618341788748,592.551859214577,1
130,1096.207119462824,592.4706714492654,1
131,1096.1568957820468,592.4729036001797,0
132,1096.203601414865,593.0115835530845,1
133,1096.183053391272,593.1780533373691,0
134,1096.5330308031348,592.6089896662644,1
135,1096.6451739463614,592.4319016494196,1
136,1059.566969278406,592.7256510774483,1
137,1075.9242036315247,593.15132445983,1
138,1059.0009874262478,609.0982236864583,1
139,1077.2437968436507,601.4563172036519,1
140,1088.7658397082473,596.2146538350431,1
141,1093.9094953779127,595.0077039043151,0
142,1096.9293130762273,592.8312521752861,1
143,1101.420404422051,591.3264159208338,0
144,1105.9114957678746,589.8215796663816,0
145,1110.4025871136982,588.3167434119293,0
146,1098.339370495684,591.1097115847328,1
147,1099.1785655802528,590.5529751212104,0
148,1097.4914330621702,590.783961586495,1
149,1097.029711690622,590.7397610007665,1
150,1096.9682306417083,590.4986916945388,0
151,1096.9067495927945,590.2576223883111,0
152,1096.2405859977216,591.7495038078355,1
153,1096.0196670633595,591.965365168873,0
154,1095.7987481289974,592.1812265299104,0
155,1095.4898763060526,592.3812025185309,1
156,1095.2470352468674,592.5931044744527,0
157,1095.335974707979,592.3234295624911,1
158,1095.3766243235063,592.1875078887032,1
159,1095.2894288084885,592.1941350239789,0
160,1095.9086529808403,591.9238118606766,1
161,1096.0392041889131,591.8450718678093,0
162,1096.0386885295704,592.000426275087,1
163,1096.0489004087488,592.033411966879,1
164,1096.1147873649054,592.0369800709941,0
165,1095.733121256121,592.4135928176353,1
166,1095.6619807541879,592.5313761134753,0
167,1095.5825116559686,592.4548622173394,1
168,1095.5089402294388,592.515934657375,0
169,1095.5526293704816,592.5084905400905,1
170,1095.5131314946436,592.5496534535273,0
171,1095.4736336188057,592.5908163669641,0
172,1095.4341357429678,592.6319792804009,0
173,1095.3946378671299,592.6731421938376,0
174,1095.355139991292,592.7143051072744,0
